"","loan_id","account_id","date.x","amount","duration","payments","status","n_credit","n_withdrawal","max_credit","avg_credit","min_credit","max_withdrawal","avg_withdrawal","min_withdrawal","avg_amount","avg_balance","max_balance","min_balance","disp_id","client_id","type.x","birthday","gender","age_range","age","district_id","frequency","date.y","name","region","hab","m_hab.499","m_hab500.1999","m_hab2000.9999","m_hab.10000","cities","urban_hab","salary","unemployment95","unemployment96","enterpreneurs_per_hab","crimes95","crimes96","avg_monthly_balance","datediff","credit_per_witdrawal","credit_per_payments","crimes96_per_crime95","loanAmount_per_avgAmount","card_id","type.y","issued","avg_amount_by_duration","cover_loan","n_credits_vs_n_withdrawal","avg_credits_vs_avg_withdrawal","time_before_loan","payments_by_duration","avg_monthly_balance_vs_payments","frequency_numeric","region_numeric","gender_numeric","card_numeric"
"1",5314,1787,930705,96396,12,8033,-1,4,0,9900,5025,1100,0,0,0,5025,12250,20100,1100,2166,2166,"OWNER",470722,"f","40_50",51.9278,30,"weekly issuance",930322,"Sokolov","west Bohemia",94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,12250,459983,2,0.625544628407818,0.939363484087102,19.1832835820896,NA,NA,0,60300,23846,4,5025,-383,96396,-23846,3,8,1,0
"2",5316,1801,930711,165960,36,4610,1,17,18,36574,13523.1588235294,2.9,54300,8884.24,14.6,1411.05135135135,52083.8594594595,120512.8,700,2181,2181,"OWNER",680722,"m","60_70",30.9278,46,"monthly issuance",930213,"Nachod","east Bohemia",112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,46732.2390740741,249989,1.5221514528569,2.93344009187189,0.917309039943938,117.614429723668,NA,NA,0,50797.8486486486,63078.2918918919,-1,4638.91882352941,-498,165960,-68429.9122772773,2,2,2,0
"3",6863,9188,930728,127080,60,2118,1,15,9,19065,5009.73333333333,48.6,14800,6097,66,844.708333333333,30060.9541666667,49590.4,800,11006,11314,"OWNER",360602,"m","30_40",62.9398,45,"monthly issuance",930208,"Jicin","east Bohemia",77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,25587.1755952381,570126,0.821671860477831,2.36531318854265,1.02019230769231,150.442460415331,NA,NA,0,50682.5,46336.5458333333,6,-1087.26666666667,-520,127080,-50810.3244047619,2,2,2,0
"4",5325,1843,930803,105804,36,2939,1,13,12,26448,9254.6,132.8,15600,7168.1,14.6,1371.704,41297.48,65898.5,1000,2235,2235,"OWNER",400420,"f","40_50",58.958,12,"monthly issuance",930130,"Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,3.83,4.31,137,3804,3868,33742.3734693878,530383,1.29108131862,3.14889418169445,1.01682439537329,77.13325907047,NA,NA,0,49381.344,15125.176,1,2086.5,-673,105804,-22680.2825306122,2,1,1,0
"5",7240,11013,930906,274740,60,4579,1,13,14,63366,21255.9307692308,77.1,36700,16801,30,1522.70740740741,57188.2111111111,122893.1,600,13231,13539,"OWNER",780907,"m","70_80",20.9093,1,"weekly issuance",930214,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,51800.6414965986,149999,1.26515866729544,4.64204646630941,1.15675152024464,180.428622507181,NA,NA,0,91362.4444444444,126189.344444444,-1,4454.93076923077,-692,274740,-131576.914058957,3,5,2,0
"6",6687,8261,930913,87840,24,3660,1,14,3,32938,7331.98571428571,51.3,22000,19600,15200,2579.28235294118,46318.5529411765,65847.8,500,9892,10200,"OWNER",800216,"f","80_90",18.9784,13,"monthly issuance",930512,"Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,45947.94,130697,0.374080903790087,2.00327478532397,1.17407639323732,34.05598456479,NA,NA,0,61902.7764705882,-20381.3294117647,11,-12268.0142857143,-401,87840,20010.7164705882,2,1,1,0
"7",7284,11265,930915,52788,12,4399,1,21,22,11427,4304.0380952381,43.9,17920,3152.53636363636,14.6,489.046511627907,22198.1790697674,41469.1,1000,13537,13845,"OWNER",730216,"m","70_80",25.9784,15,"monthly issuance",930114,"Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,21108.6166666667,200699,1.3652619982069,0.978412842745646,1.01842818428184,107.940653383423,NA,NA,0,5868.55813953488,24721.2627906977,-1,1151.50173160173,-801,52788,-25810.8251937985,2,6,2,0
"8",6111,5428,930924,174744,24,7281,-1,16,14,47436,13374.85,77.8,52600,9741.05,14.6,1816.9,37485.45625,105628,1000,6551,6551,"OWNER",480812,"f","40_50",50.9188,24,"monthly issuance",930414,"Karlovy Vary","west Bohemia",122603,25,21,6,2,8,80,8991,1.39,2.01,128,5198,5273,39265.6888492064,450112,1.37303986736543,1.8369523417113,1.01442862639477,96.1770047883758,NA,NA,0,43605.6,93652.94375,2,3633.8,-510,174744,-91872.7111507936,2,8,1,0
"9",7235,10973,931013,154416,48,3217,1,16,14,39098,11408.9875,13.6,19200,8071.3125,30,1668.8375,46715.8,81723.5,8897,13182,13490,"OWNER",690525,"f","60_70",29.9475,18,"weekly issuance",930420,"Pisek","south Bohemia",70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,45394.0625510204,240488,1.4135232033204,3.54646798259248,1.09770114942529,92.529080872164,NA,NA,0,80104.2,27596,2,3337.675,-593,154416,-28917.7374489796,3,6,1,0
"10",5997,4894,931104,117024,24,4876,1,9,4,29255,13154.8333333333,45.1,24000,16300,2100,4091.80769230769,44131.1692307692,76985.2,800,5911,5911,"OWNER",351003,"m","30_40",63.8997,14,"monthly issuance",930620,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,38353.68,580101,0.807044989775051,2.6978739403883,0.953210175651121,28.5995845357046,NA,NA,0,98203.3846153846,-25310.5538461539,5,-3145.16666666667,-484,117024,19533.0646153846,2,6,2,0
