account_id,avg_balance,max_balance,min_balance,avg_amount
1,17558.699999999993,30414.8,1000,112.0345132743364
2,32590.62407407406,67529.6,1100,515.5685185185185
4,23648.623076923075,30623.5,800,639.5615384615386
6,30313.279838709663,40391.5,900,270.23548387096804
7,23088.85,34875,900,7076.35
8,49640.43999999997,75952.3,900,494.34823529411796
9,27558.120408163293,78753,400,134.02163265306157
10,35311.86153846153,65638.5,1100,3692.923076923077
11,20782.166071428564,31304.6,300,515.8410714285716
14,18106.9,24753.6,400,6188.4
15,41623.9864253394,66670.5,800,151.8746606334844
18,43914.82673796794,155603.3,575.7,142.99090909090916
19,25197.09249999999,58157.5,715,198.18000000000006
20,6510.0,12520,500,2504.0
22,38711.61954022986,68159.8,1100,382.7620689655175
23,44445.36324786328,72983.2,800,306.1568376068379
24,13640.199999999999,19995.1,1000,6665.033333333333
26,34495.16441441443,83469.3,800,134.79504504504519
27,24505.14811320755,40464.1,900,99.83490566037752
29,35945.53672316382,59950.3,700,154.31638418079118
30,54255.89411764701,129089.9,400,255.7941176470588
31,64057.86200000003,128844.3,800,158.5656
32,47728.70307692306,75123.2,700,791.3015384615384
33,60322.36713615034,103726,600,486.90938967136185
34,54321.244354838695,94579.7,600,170.06774193548375
35,21336.892946058095,32520.4,600,65.53734439834038
36,42214.86598360662,70709.2,500,110.97418032786915
39,26628.725316455686,36322.3,1100,125.25864978902966
40,24650.12307692304,41560,700,34.98888888888897
42,22486.561538461538,38101,800,2092.9999999999995
43,60865.86271186438,84913.2,1100,329.06497175141203
44,17494.048730964467,29423.9,400,135.15025380710657
47,47380.02471590907,108508.9,300,122.25198863636365
48,23980.925,34921,700,7545.425
50,34392.089473684195,54126.1,900,145.62344497607677
51,42637.225806451606,64131.5,800,1954.3032258064518
53,17425.292307692307,27049.6,700,301.6910256410258
54,15664.096629213489,21631.9,1000,167.2808988764045
55,17725.196875,23445,300,677.7750000000002
56,31509.127672955958,54275.3,900,183.7610062893083
57,44657.94220183481,74238.3,700,323.79174311926624
58,15329.457142857142,23816,600,3307.171428571429
59,40433.16313364055,65210.7,600,202.35253456221216
61,20520.227040816357,31764.7,700,113.23010204081652
62,25276.47068965514,36365.9,1100,70.75689655172447
63,3112.0,5624,600,2812.0
65,32064.185714285715,61585.3,600,6271.2
66,66326.38253968247,129812.6,400,260.7560846560847
67,52523.24480000004,107069.6,700,189.51520000000042
68,56670.75567010316,112710,200,516.1237113402063
69,33649.56307692306,71708,600,583.9892307692309
70,33161.13274336285,48087.2,500,298.3619469026551
71,47027.42769784183,75377.7,700,183.12302158273397
72,54186.479999999945,120331.9,1100,975.8000000000004
73,42345.8197247707,67129.5,400,209.00045871559655
75,25922.575903614474,49848.3,700,403.1313253012049
76,29628.496774193536,44113.4,200,992.558064516129
77,19987.925,26781.7,400,6695.425
78,31626.91024590162,57055.9,400,140.48934426229536
79,2691.0,4782,600,2391.0
80,16507.092857142852,20313,900,324.5732142857144
81,22692.069999999996,29668.3,1000,1404.4100000000003
82,58923.49780219775,161573.6,300,398.34340659340666
83,25858.649128919846,42434.7,500,50.350522648083796
84,60193.2088235294,133183.8,1100,1234.6735294117645
86,18652.695038167927,26253.8,800,93.70229007633607
88,11947.277777777776,18536.9,300,861.6499999999999
90,37928.292244897944,74106.5,500,154.11673469387756
91,8378.66,13726.1,300,2745.2200000000003
93,26357.84,36483.7,500,1308.272
95,55405.901041666635,97808.3,200,711.1041666666666
96,71398.13619047623,129261.8,1100,156.78452380952388
99,50698.465591397835,109950.7,600,904.3043010752689
100,36460.52278481011,63498.2,600,221.3206751054854
101,40309.94358974358,62457.3,1000,1005.6692307692309
102,35251.055624999986,96777.1,400,191.02812500000005
104,18681.90983606558,26349.3,500,79.13360655737715
106,39898.512500000055,67012,500,285.5000000000003
107,28546.063508771957,48159.2,1000,114.43087719298265
108,46850.860185185185,66997.3,800,481.9583333333336
112,22356.42592592595,35490.4,200,68.45061728395076
113,21488.327272727274,32685,600,2389.0454545454545
115,29434.90414937761,50977.9,800,166.4950207468882
116,42523.16904761902,68893.3,800,895.5857142857141
117,21593.016831683184,31744.5,900,120.36435643564381
119,38212.816064256986,63811.9,800,211.16184738955852
120,56940.77213114754,131889.2,1100,695.1844262295082
122,29063.34285714286,55711.1,900,5701.314285714286
123,17167.639719626175,27494.4,200,72.72429906542058
125,58380.717647058824,107571.6,200,5613.429411764705
126,44397.89350000001,112359,200,171.51
127,15854.33641975309,23672.6,600,80.4438271604939
128,36646.8179104478,73884.4,300,169.32873134328378
131,24343.662886597933,43338.7,5496,267.24639175257744
132,62778.09032258065,103239,200,2545.4129032258065
135,33567.46682926833,51182.2,700,205.41317073170762
136,22651.052380952384,32061.1,600,1327.757142857143
137,45519.35789473685,81957.5,900,2782.515789473684
138,14975.0,20700,1100,675.0
140,18708.153846153848,29988,300,1179.884615384615
141,49978.15689655173,89664.9,900,521.8379310344828
142,21484.403111111096,28892.5,900,92.77911111111138
143,2962.0,5424,500,2712.0
145,30562.95172413793,45474.1,1100,619.0689655172416
146,22261.838095238087,32376.4,500,164.509523809524
148,17008.54130434784,23301.2,500,62.4163043478262
150,35831.449056603786,98659.1,1900,930.6094339622643
151,19456.575675675704,34425.3,1000,48.406563706563816
152,23612.34146341462,35745.9,1100,351.0170731707318
153,30057.52322274883,53038.7,400,133.68909952606666
154,39375.43742690058,71202.7,900,409.76198830409373
155,26712.068656716423,38531.8,300,398.2791044776121
158,48677.07304347824,83033.5,700,574.6756521739134
160,39024.820454545435,75680.1,400,248.1079545454547
161,19214.646951219496,28434.2,900,109.24268292682949
162,25309.073988439322,40015,200,206.00809248554944
163,25456.219858156062,38806.3,900,111.51737588652503
164,12750.0,20100,200,5025.0
165,27570.001250000016,35671.1,1000,133.81791666666686
166,9932.0,19064,800,3812.8
167,21809.090909090908,35500,1100,3227.2727272727275
168,17230.45095238095,23878.8,500,83.40476190476197
169,42023.67123287672,59837.7,500,704.6273972602743
170,43112.51304347827,67012.8,1000,2056.3739130434788
171,22870.350000000002,33191.9,500,1172.6625000000001
172,46176.77787234043,78888.7,700,160.63744680851096
173,38709.829999999994,57865.3,500,933.8466666666665
174,8433.366666666667,14475.7,900,1608.411111111111
180,41222.857435897466,82592.4,-2335.4,182.03179487179494
181,34781.50416666667,52500.8,200,1866.216666666667
182,200.0,200,200,200.0
183,31872.803524229075,54266.7,200,162.62951541850234
184,44791.745,72952,600,1218.2425000000003
186,63391.79105058375,134788.7,700,114.37821011673152
187,16542.04401913877,26230,200,83.00143540669869
188,48675.58281250003,82550.1,700,268.50703124999984
190,33023.5623529412,64866.2,500,219.15000000000003
192,24884.81428571425,39283.8,300,124.22410714285742
193,300.0,300,300,300.0
194,27604.621052631588,38893.9,400,1817.3578947368424
196,40249.1349152543,66396.9,400,170.66101694915272
197,39623.016942148744,75298.8,800,92.06611570247958
198,21570.345641025644,30570.1,900,130.26820512820532
199,3677.0,6654,700,2218.0
200,46073.02519083968,75952,900,539.1793893129773
201,33277.11914893613,53245.2,600,207.74397163120594
204,13945.725641025649,18396.9,600,373.1871794871795
206,28376.76788990828,42634.7,1100,366.4376146788993
207,25506.685667752445,36471.1,900,64.9091205211728
208,35903.46249999998,53281.3,700,651.0910714285717
209,9615.2,16598.8,900,4149.7
210,37269.06486486484,56026.7,1000,1407.3324324324326
212,56432.36185567014,123282.9,200,239.77285223367704
213,51945.37931034482,85656,1000,583.3551724137934
216,27568.786021505388,36350.6,500,156.5263440860217
217,27629.511111111107,48580.7,800,324.50598290598305
218,38490.05918367348,120827,405.8,9.334693877551347
219,47819.06046511627,68925.1,500,528.6930232558141
220,18341.492523364483,31241.3,400,92.05700934579448
221,29127.028571428575,56091.6,300,5571.057142857143
222,58906.877542372946,106491.7,500,207.50550847457603
223,38185.7025,76631.1,800,672.6800000000003
224,6876.0,12652,1100,4217.333333333333
225,26306.30625000003,47046.4,1000,172.91213235294137
227,52453.60336134448,119199.9,700,248.9042016806724
228,39441.936144578314,71047.9,800,211.6325301204821
230,38719.26379310344,66172.2,600,483.35344827586226
231,16068.384536082483,21135.4,900,170.04123711340213
234,17743.160869565243,29550,500,62.97342995169099
235,21841.86,30632.8,1000,100.09363636363659
236,16540.0,21600,900,1540.0
237,13858.036363636378,19487.2,900,88.48409090909091
238,16516.86528497411,21971.7,500,74.67357512953384
239,58808.66200527703,178670.2,300,185.67071240105537
241,16571.730000000003,25592.6,500,2559.2599999999998
242,37614.55384615385,72332.7,500,3537.953846153847
243,56138.358297872386,144811.1,900,167.29106382978713
244,33464.2186968839,57748,800,145.9124645892353
245,33763.894350282455,121353.5,-890,77.65141242937851
248,42679.501063829804,74702.6,700,391.058510638298
249,18222.366666666665,27077.1,600,9025.699999999999
251,37467.94878048779,50696,900,1166.119512195122
252,1000.0,1000,1000,1000.0
253,49458.56181818181,81559.8,-1212.9,946.2472727272726
255,48676.850000000006,90268.7,900,15044.783333333333
256,57390.21511627908,76527.2,1100,807.9441860465107
257,37715.17631578948,98638,900,516.9763157894736
259,24529.292035398263,37227.9,600,100.9269911504426
260,30355.368571428557,43691.1,600,361.4314285714289
261,12926.122222222222,20899,200,2322.1000000000004
262,15081.818181818182,23400,200,981.8181818181819
264,31117.08979591838,41455.1,900,796.8102040816327
265,20501.331578947367,28570.6,600,1394.0894736842106
266,72188.19788359782,137653.3,400,270.1915343915341
267,18686.59425287356,26556.6,500,258.6517241379312
268,43320.0238095238,105278.6,500,1408.0428571428577
269,20383.584615384618,30443.6,700,2112.0538461538463
270,51973.65416666668,83134.5,1100,668.5866666666665
271,20651.114285714288,31139,400,2182.9357142857143
272,25791.014285714286,50228.6,1100,4818.785714285715
273,30852.824496644298,58036.8,700,107.30302013422816
274,37503.205286343626,68093.9,300,226.5995594713659
275,17094.575471698117,22668.4,800,420.6849056603775
277,41276.94338235293,126135,500,199.18823529411753
278,51307.38684210527,69818.3,700,1794.0052631578942
279,17819.297570850198,24800.6,400,87.7493927125507
280,29698.1141955836,50891.6,300,99.8810725552052
281,19827.714285714286,31930.4,900,4145.542857142857
283,22291.537499999995,28304.4,800,1019.85
285,58677.707692307675,86905.8,600,727.8879120879118
286,45679.724390243915,74623.2,300,1094.4390243902437
287,19607.471296296324,27025,600,57.62916666666678
288,21710.990909090895,30269.7,900,229.86909090909108
289,41146.55534883722,62521.1,300,190.85395348837233
290,49084.381967213114,89822.2,300,412.90491803278724
296,18903.531111111108,24521.6,300,466.32888888888897
297,15452.105263157891,22592.2,200,1188.2947368421055
299,69824.45238095237,154088.3,600,329.2634920634921
300,26424.146551724145,43525.1,400,177.1728448275865
301,15734.53773584905,22147.7,300,368.01320754716977
302,27663.40689655173,37845,6438,1122.9379310344832
305,4630.0,9060,200,3020.0
306,20299.88491379311,34237,1000,77.75258620689671
308,23466.666666666668,31800,400,2026.6666666666667
312,33989.37321428569,55326.1,500,470.77678571428567
313,12659.226315789472,18859.4,700,863.6578947368421
317,24452.75358649788,43822.3,800,147.85780590717323
318,28234.005517241392,42654.6,200,275.48896551724164
321,23688.370949720662,36467.9,1100,170.4480446927377
322,36575.50912547531,59676.2,1000,110.52357414448687
324,11058.0,21616,500,4323.2
325,10355.671428571428,17918.1,300,2559.714285714286
327,42485.98634812291,78969.4,700,203.61808873720156
329,31707.728571428568,60148.9,1100,6226.628571428571
331,25246.061194029844,32991.2,1100,316.4910447761197
332,28036.81538461538,37088.6,300,637.546153846154
333,700.0,700,700,700.0
334,48767.32752613246,96670.4,500,323.5905923344947
335,21676.524444444432,28458.6,1000,484.28666666666686
336,38019.6185714286,66275.2,500,488.2685714285716
337,41055.60793650791,109646.6,200,389.49523809523845
338,17391.12372881356,27653.7,700,243.23559322033918
340,23232.866525423713,34811,1000,87.13305084745782
341,18315.725,24582.9,600,6145.725
342,4498.0,7996,1000,2665.3333333333335
343,19661.733333333323,32200.9,900,86.491525423729
344,35614.74428571429,53376.7,600,673.3971428571427
345,36226.47289719627,57296.7,200,247.5602803738319
346,43195.55418181822,79677.1,800,190.78545454545477
347,42084.311363636334,92571.3,-243.3,577.6386363636365
348,43454.84999999999,66388,700,793.0019230769232
350,6809.0,13118,500,4372.666666666667
352,20739.91232876714,31553.7,200,166.13493150684965
