client_id,account_id,district_id,birthday,gender,dem_name,dem_region
1,1,18,701213,f,Pisek,south Bohemia
2,2,1,450204,m,Hl.m. Praha,Prague
4,3,5,561201,m,Kolin,central Bohemia
6,4,12,190922,m,Pribram,central Bohemia
7,5,15,290125,m,Cesky Krumlov,south Bohemia
8,6,51,380221,f,Trutnov,east Bohemia
9,7,60,351016,m,Prostejov,south Moravia
10,8,57,430501,m,Hodonin,south Moravia
12,9,70,810220,m,Karvina,north Moravia
13,10,54,740529,f,Brno - mesto,south Moravia
14,11,76,420622,f,Sumperk,north Moravia
15,12,21,180828,f,Tabor,south Bohemia
17,13,76,341013,m,Sumperk,north Moravia
19,14,47,421228,m,Pardubice,east Bohemia
20,15,70,790104,m,Karvina,north Moravia
21,16,12,521029,f,Pribram,central Bohemia
22,17,1,691011,f,Hl.m. Praha,Prague
24,18,43,390729,f,Hradec Kralove,east Bohemia
25,19,21,390423,f,Tabor,south Bohemia
26,20,74,690420,f,Ostrava - mesto,north Moravia
27,21,54,660326,f,Brno - mesto,south Moravia
28,22,1,450929,m,Hl.m. Praha,Prague
29,23,30,510911,f,Sokolov,west Bohemia
30,24,74,571009,f,Ostrava - mesto,north Moravia
31,25,68,620209,m,Frydek - Mistek,north Moravia
32,26,52,800728,m,Usti nad Orlici,east Bohemia
33,27,73,481204,f,Opava,north Moravia
36,29,7,780717,f,Melnik,central Bohemia
38,30,36,730723,f,Liberec,north Bohemia
39,31,68,680125,m,Frydek - Mistek,north Moravia
40,32,5,570122,f,Kolin,central Bohemia
41,33,22,680827,m,Domazlice,west Bohemia
42,34,67,350817,m,Bruntal,north Moravia
43,35,75,201028,m,Prerov,north Moravia
44,36,1,770111,f,Hl.m. Praha,Prague
45,37,20,520826,m,Strakonice,south Bohemia
46,38,19,400130,f,Prachatice,south Bohemia
47,39,36,340714,m,Liberec,north Bohemia
48,40,64,400209,m,Zlin,south Moravia
49,41,72,590511,f,Olomouc,north Moravia
50,42,39,780730,f,Most,north Bohemia
51,43,36,791202,f,Liberec,north Bohemia
