account_id,max_credit,avg_credit,min_credit
1,12600,1992.6019999999996,19.2
2,30354,10394.786363636362,13.5
4,5553,3348.264705882353,66.6
6,6669,3603.666666666666,70.3
7,33975,11635.133333333333,30.4
8,30712,10792.256250000004,37.1
9,45691,1752.9507812499996,5.4
10,26529,8430.8,12.2
11,3494,1734.1838709677415,10.2
14,22137,6188.4,16.6
15,25598,9156.485185185185,62.4
18,47679,10433.970967741934,42.7
19,22708,5264.765217391303,47.1
20,3005,2504.0,500
22,25310,8918.285714285716,26.8
23,33132,12021.319318181819,39.8
24,18925.5,6665.033333333333,69.6
26,37203,13099.725882352946,68.8
27,12940,4654.361445783133,14.4
29,26667,9670.149019607843,29.2
30,49290,17159.800000000003,3.9
31,49537,17936.0462962963,110.4
32,24822,8773.817647058824,12.5
33,35384,12667.771951219509,21.8
34,47768,17252.225316455697,59.6
35,5446,2874.084810126583,57.6
36,29778,10641.098837209303,74.4
39,6474,3387.0039473684214,39.3
40,9753,3456.9388235294123,15.2
42,13659,4900.9,37.3
43,35862,13048.138095238095,92.4
44,4200,2214.2168674698787,53.5
47,52886,18658.28117647059,100.4
48,34221,11660.566666666666,60.7
50,24195,8565.00149253731,45.8
51,30950,11137.546666666665,76.3
53,4277,2131.4333333333334,14.5
54,3421,1721.0146341463412,11.9
55,4629,2766.84705882353,32.4
56,21890,7775.88,48
57,31962,11569.67435897436,44.1
58,5804,3975.0333333333333,34.2
59,21424,7479.429166666667,15.2
61,4019,2146.931884057971,48.9
62,5079,2688.47356321839,74.4
63,5024,2812.0,600
65,36885,12439.68,10.3
66,67070,24285.172,63.4
67,62235,21979.508108108108,57.8
68,53336,18981.979591836738,50.1
69,43725,2803.4511111111115,6
70,13630,4695.463265306123,24.7
71,32576,11603.545714285718,69.3
72,49740,18237.045454545456,15.6
73,28666.5,10190.53797468354,54.2
75,18825,6672.444117647058,47.9
76,11720,4290.950000000001,48.3
77,25635,6695.425,46.7
78,26217,9242.266666666666,48.1
79,4182,2391.0,600
80,3378,1937.655555555555,2.6
81,9300,2303.186666666667,27
82,47606,16154.649367088608,53.5
83,13839,4922.189795918368,35.5
84,48660,16240.29696969697,103.7
86,3243,1648.765591397849,11.4
88,3403,1606.5307692307692,12.9
90,36459,12859.487096774194,60
91,6774,2745.2200000000003,22.6
93,10782,3946.9124999999995,26.6
95,35890,12612.595454545457,6.8
96,66332,23339.038541666672,54.6
99,49346,12461.265853658539,14.6
100,17836.5,5895.910344827586,12.2
101,26796,9265.138888888885,48.7
102,47939,6877.321428571427,57.9
104,3063,1626.9717647058822,42.2
106,26648,9662.149019607843,15.4
107,10600,3610.5935483870967,26.1
108,23554.5,8406.837777777777,78.5
112,6582,3303.2010752688175,17.3
113,6417,4682.871428571429,95.1
115,11498,4060.1362745098036,28.5
116,34684.5,11793.630000000001,40.4
117,4903,2473.0024691358017,20.1
119,32288,11718.674712643679,28.9
120,48187,15416.009090909092,24.1
122,33903,11501.84,6.1
123,4843,2539.5126436781607,57.1
125,42284,13019.025,54.7
126,49750,11871.038095238098,40.8
127,3364,1695.725352112676,10
128,38879,2059.465517241379,18.5
131,15534,5335.664285714285,41.6
132,47976,16852.55,116.9
135,9200,2499.648514851485,32.8
136,6378,3803.3916666666664,71.1
137,34813.5,11753.581818181818,44
138,11200,2800.0,100
140,18888,3804.8124999999995,27.3
141,45248,15953.009523809527,96
142,4555,2405.825842696629,49.7
143,4924,2712.0,500
145,10834,3504.606451612903,28
146,6296,3159.912345679012,17
148,3468,1837.9716049382714,2.5
150,46079,2211.016393442623,6
151,10700,2542.291919191919,17.9
152,9900,3243.4789473684214,43.4
153,20595,7354.325925925928,35.2
154,21114,7457.522222222223,30.1
155,12700,2530.0749999999994,12
158,36822,13231.997674418606,54.7
160,17833.5,6152.312222222224,32.4
161,4419,2224.1377049180333,15.7
162,5188,2745.4935064935066,68.2
163,6698,3443.5451612903225,11.4
164,12900,5025.0,200
165,6864,3458.962068965518,21.8
166,4566,3812.8,800
167,12300,3570.0,300
168,3020,1602.2235294117647,42.5
169,19188,6910.887499999999,11
170,25599,8573.271428571428,53.4
171,6003,2861.713333333333,16.3
172,33584,11896.281927710843,7.2
173,25970,9470.5,19.5
174,3377,1608.411111111111,14.3
180,34892,12141.875000000002,57.4
181,16158,5791.314285714286,59.2
182,200,200.0,200
183,21963,7702.527631578949,53.2
184,29546,10005.33181818182,29
186,49065,15406.638181818182,12
187,4197,2206.2747126436775,19.7
188,29120,10402.371428571429,36.2
190,26334,9142.30425531915,43.7
192,5859,3076.8461538461534,62.3
193,300,300.0,300
194,11000,2931.6,15
196,19408,6833.922500000001,54
197,32577,11638.736170212766,15.6
198,4299,2293.105479452055,23.2
199,2977,2218.0,700
200,12921,4721.162903225808,30.7
201,23752,8512.242592592593,47.9
204,2926,1747.1842105263154,40.6
206,10600,2525.125454545455,15.9
207,9300,2737.636633663367,16.5
208,22494,7675.955,12.1
209,12200,4149.7,17.8
210,25100,8748.015,48
212,74385,26131.529591836737,52.1
213,36408,12991.730303030301,10.4
216,6460,3400.418333333333,65.1
217,16614,5820.5428571428565,23.3
218,47030,12735.3,66.1
219,26649,9384.13125,76.4
220,5271,2767.4611764705883,53.5
221,32151,9366.233333333334,6.6
222,51614,18471.466304347832,71.8
223,46867,7800.287999999998,114.8
224,5776,4217.333333333333,1100
