account_id,avg_balance,max_balance,min_balance,avg_amount,max_amount,min_amout
1,17558.699999999993,30414.8,1000,1651.3300884955759,12600,14.6
2,32590.62407407406,67529.6,1100,7954.2574074074055,30354,13.5
4,23648.623076923075,30623.5,800,2279.4384615384624,5553,14.6
6,30313.279838709663,40391.5,900,2694.0709677419354,11600,14.6
7,23088.85,34875,900,10376.35,33975,30.4
8,49640.43999999997,75952.3,900,7631.585882352939,30712,14.6
9,27558.120408163293,78753,400,1697.633061224489,45691,5.4
10,35311.86153846153,65638.5,1100,9277.538461538461,26529,12.2
11,20782.166071428564,31304.6,300,1404.1482142857144,3494,10.2
14,18106.9,24753.6,400,6188.4,22137,16.6
15,41623.9864253394,66670.5,800,6560.1190045248895,46720,14.6
18,43914.82673796794,155603.3,575.7,10235.183422459892,70200,30
19,25197.09249999999,58157.5,715,5856.299999999998,22708,14.6
20,6510.0,12520,500,2504.0,3005,500
22,38711.61954022986,68159.8,1100,6792.87011494253,27600,14.6
23,44445.36324786328,72983.2,800,8735.51923076924,40480,14.6
24,13640.199999999999,19995.1,1000,6665.033333333333,18925.5,69.6
26,34495.16441441443,83469.3,800,9896.526576576585,37203,14.6
27,24505.14811320755,40464.1,900,3544.6179245283,12940,14.4
29,35945.53672316382,59950.3,700,5418.311864406778,26667,8
30,54255.89411764701,129089.9,400,14885.205882352951,60200,3.9
31,64057.86200000003,128844.3,800,15338.17840000001,61700,14.6
32,47728.70307692306,75123.2,700,8387.461538461537,24822,12.5
33,60322.36713615034,103726,600,9266.680281690147,35384,14.6
34,54321.244354838695,94579.7,600,10821.269354838707,47768,30
35,21336.892946058095,32520.4,600,1818.7174273858907,14950,14.6
36,42214.86598360662,70709.2,500,7390.1282786885295,41120,14.6
39,26628.725316455686,36322.3,1100,2046.9970464135004,6474,14.6
40,24650.12307692304,41560,700,2476.4623931623914,10200,14.6
42,22486.561538461538,38101,800,5446.846153846154,13659,37.3
43,60865.86271186438,84913.2,1100,8959.440112994354,35862,14.6
44,17494.048730964467,29423.9,400,1730.636548223349,6000,14.6
47,47380.02471590907,108508.9,300,8888.849715909095,63300,9
48,23980.925,34921,700,9945.425,34221,60.7
50,34392.089473684195,54126.1,900,5345.812918660286,24195,14.6
51,42637.225806451606,64131.5,800,8823.967741935483,30950,14.6
53,17425.292307692307,27049.6,700,1829.742307692308,4277,14.5
54,15664.096629213489,21631.9,1000,1418.3730337078655,8070,11.9
55,17725.196875,23445,300,2262.0,4629,14.6
56,31509.127672955958,54275.3,900,6173.8767295597445,23840,14.6
57,44657.94220183481,74238.3,700,7955.424770642198,31962,14.6
58,15329.457142857142,23816,600,3507.171428571429,5804,34.2
59,40433.16313364055,65210.7,600,4760.955299539169,22880,14.6
61,20520.227040816357,31764.7,700,1398.3852040816332,4019,14.6
62,25276.47068965514,36365.9,1100,1945.598275862068,6500,14.6
63,3112.0,5624,600,2812.0,5024,600
65,32064.185714285715,61585.3,600,11499.77142857143,36885,10.3
66,66326.38253968247,129812.6,400,19013.189947089944,67070,63.4
67,52523.24480000004,107069.6,700,12822.353600000004,62235,14.6
68,56670.75567010316,112710,200,9072.711340206186,53336,50.1
69,33649.56307692306,71708,600,3297.712307692309,43725,6
70,33161.13274336285,48087.2,500,3773.809734513273,13630,14.6
71,47027.42769784183,75377.7,700,5660.389208633098,36320,14.6
72,54186.479999999945,120331.9,1100,15072.8,62300,15.6
73,42345.8197247707,67129.5,400,7176.802293577986,28666.5,14.6
75,25922.575903614474,49848.3,700,5063.44939759036,18825,14.6
76,29628.496774193536,44113.4,200,3990.4806451612912,11720,14.6
77,19987.925,26781.7,400,6695.425,25635,46.7
78,31626.91024590162,57055.9,400,6450.307377049185,26217,14.6
79,2691.0,4782,600,2391.0,4182,600
80,16507.092857142852,20313,900,1543.8803571428575,5250,2.6
81,22692.069999999996,29668.3,1000,2050.37,9300,14.6
82,58923.49780219775,161573.6,300,13626.022527472533,57700,14.6
83,25858.649128919846,42434.7,500,3311.1449477351894,13839,14.6
84,60193.2088235294,133183.8,1100,14527.967647058822,48660,100
86,18652.695038167927,26253.8,800,1076.7954198473283,8550,11.4
88,11947.277777777776,18536.9,300,1458.8944444444444,3403,12.9
90,37928.292244897944,74106.5,500,6354.358367346939,36459,14.6
91,8378.66,13726.1,300,2745.2200000000003,6774,22.6
93,26357.84,36483.7,500,3743.776,10782,14.6
95,55405.901041666635,97808.3,200,10850.441666666662,35890,6.8
96,71398.13619047623,129261.8,1100,10512.49023809524,67500,14.6
99,50698.465591397835,109950.7,600,10083.048387096771,64900,14.6
100,36460.52278481011,63498.2,600,4107.322362869196,25920,12.2
101,40309.94358974358,62457.3,1000,7546.766666666667,26796,14.6
102,35251.055624999986,96777.1,400,5826.628124999997,47939,14.6
104,18681.90983606558,26349.3,500,1054.4122950819678,7830,14.6
106,39898.512500000055,67012,500,6961.11176470588,26648,14.6
107,28546.063508771957,48159.2,1000,2241.956491228068,10600,14.6
108,46850.860185185185,66997.3,800,6523.739814814813,23554.5,14.6
112,22356.42592592595,35490.4,200,2459.9255144032904,20000,14.6
113,21488.327272727274,32685,600,3570.972727272727,6417,14.6
115,29434.90414937761,50977.9,800,3270.300829875516,11498,14.6
116,42523.16904761902,68893.3,800,10336.442857142854,34684.5,14.6
117,21593.016831683184,31744.5,900,1862.9346534653453,11200,14.6
119,38212.816064256986,63811.9,800,7977.791566265064,32288,14.6
120,56940.77213114754,131889.2,1100,13204.495901639344,64800,24.1
122,29063.34285714286,55711.1,900,10729.885714285716,33903,6.1
123,17167.639719626175,27494.4,200,1992.1130841121483,4843,14.6
125,58380.717647058824,107571.6,200,12766.370588235293,42284,54.7
126,44397.89350000001,112359,200,9800.162000000006,49750,14.6
127,15854.33641975309,23672.6,600,1405.9327160493835,5640,10
128,36646.8179104478,73884.4,300,2059.1973880596993,38879,14.6
131,24343.662886597933,43338.7,5496,4353.328865979381,15534,14.6
132,62778.09032258065,103239,200,14850.767741935484,47976,100
135,33567.46682926833,51182.2,700,2257.6551219512176,16600,14.6
136,22651.052380952384,32061.1,600,3018.97619047619,6500,14.6
137,45519.35789473685,81957.5,900,10826.894736842103,34813.5,14.6
138,14975.0,20700,1100,2475.0,11200,100
140,18708.153846153848,29988,300,3502.9615384615395,18888,27.3
141,49978.15689655173,89664.9,900,11030.341379310343,45248,14.6
142,21484.403111111096,28892.5,900,1810.4964444444431,6200,14.6
143,2962.0,5424,500,2712.0,4924,500
145,30562.95172413793,45474.1,1100,3127.234482758621,10834,14.6
146,22261.838095238087,32376.4,500,2543.9867724867695,7900,14.6
148,17008.54130434784,23301.2,500,1016.3931159420295,3468,2.5
150,35831.449056603786,98659.1,1900,1614.1452830188684,46079,6
151,19456.575675675704,34425.3,1000,1895.1216216216199,10700,14.6
152,23612.34146341462,35745.9,1100,2655.1341463414637,9900,14.6
153,30057.52322274883,53038.7,400,5512.76018957346,20595,14.6
154,39375.43742690058,71202.7,900,5085.2543859649095,21114,14.6
155,26712.068656716423,38531.8,300,2320.6074626865675,14560,12
158,48677.07304347824,83033.5,700,9320.557391304346,36822,14.6
160,39024.820454545435,75680.1,400,3946.650378787876,17833.5,14.6
161,19214.646951219496,28434.2,900,1545.2987804878055,14450,14.6
162,25309.073988439322,40015,200,2237.957225433525,13750,14.6
163,25456.219858156062,38806.3,900,2159.7570921985794,9050,11.4
164,12750.0,20100,200,5025.0,12900,200
165,27570.001250000016,35671.1,1000,2373.929583333331,14650,14.6
166,9932.0,19064,800,3812.8,4566,800
167,21809.090909090908,35500,1100,3263.6363636363635,12300,200
