"","account_id","max_credit","avg_credit","min_credit","max_withdrawal","avg_withdrawal","min_withdrawal","avg_amount","avg_balance","max_balance","min_balance","disp_id","client_id","type","birthday","gender","age_range","district_id","name","region"
"1",1,12600,1992.602,19.2,7500,1380.47936507937,14.6,112.034513274336,17558.7,30414.8,1000,1,1,"OWNER",701213,"f","70_80",18,"Pisek","south Bohemia"
"2",2,30354,10394.7863636364,13.5,22400,6276.39375,14.6,515.568518518519,32590.6240740741,67529.6,1100,2,2,"OWNER",450204,"m","40_50",1,"Hl.m. Praha","Prague"
"3",4,5553,3348.26470588235,66.6,4100,1453.52727272727,14.6,639.561538461538,23648.6230769231,30623.5,800,6,6,"OWNER",190922,"m","10_20",12,"Pribram","central Bohemia"
"4",6,6669,3603.66666666667,70.3,11600,2058.6,14.6,270.235483870968,30313.2798387097,40391.5,900,8,8,"OWNER",380221,"f","30_40",51,"Trutnov","east Bohemia"
"5",7,33975,11635.1333333333,30.4,6600,6600,6600,7076.35,23088.85,34875,900,9,9,"OWNER",351016,"m","30_40",60,"Prostejov","south Moravia"
"6",8,30712,10792.25625,37.1,17700,5723.25660377359,14.6,494.348235294118,49640.44,75952.3,900,10,10,"OWNER",430501,"m","40_50",57,"Hodonin","south Moravia"
"7",9,45691,1752.95078125,5.4,23500,1637.11452991453,14.6,134.021632653061,27558.1204081633,78753,400,12,12,"OWNER",810220,"m","80_90",70,"Karvina","north Moravia"
"8",10,26529,8430.8,12.2,17800,12100,7000,3692.92307692308,35311.8615384615,65638.5,1100,13,13,"OWNER",740529,"f","70_80",54,"Brno - mesto","south Moravia"
"9",11,3494,1734.18387096774,10.2,2132,994.904,14.6,515.841071428571,20782.1660714286,31304.6,300,14,14,"OWNER",420622,"f","40_50",76,"Sumperk","north Moravia"
"10",14,22137,6188.4,16.6,0,0,0,6188.4,18106.9,24753.6,400,19,19,"OWNER",421228,"m","40_50",47,"Pardubice","east Bohemia"
"11",15,25598,9156.48518518519,62.4,46720,5057.93571428571,14.6,151.874660633484,41623.9864253394,66670.5,800,20,20,"OWNER",790104,"m","70_80",70,"Karvina","north Moravia"
"12",18,47679,10433.9709677419,42.7,70200,10038.5106382979,30,142.990909090909,43914.8267379679,155603.3,575.7,24,24,"OWNER",390729,"f","30_40",43,"Hradec Kralove","east Bohemia"
"13",19,22708,5264.7652173913,47.1,18200,6656.61176470588,14.6,198.18,25197.0925,58157.5,715,25,25,"OWNER",390423,"f","30_40",21,"Tabor","south Bohemia"
"14",20,3005,2504,500,0,0,0,2504,6510,12520,500,26,26,"OWNER",690420,"f","60_70",74,"Ostrava - mesto","north Moravia"
"15",22,25310,8918.28571428571,26.8,27600,5362.30192307692,14.6,382.762068965517,38711.6195402299,68159.8,1100,28,28,"OWNER",450929,"m","40_50",1,"Hl.m. Praha","Prague"
"16",23,33132,12021.3193181818,39.8,40480,6755.03698630137,14.6,306.156837606838,44445.3632478632,72983.2,800,29,29,"OWNER",510911,"f","50_60",30,"Sokolov","west Bohemia"
"17",24,18925.5,6665.03333333333,69.6,0,0,0,6665.03333333333,13640.2,19995.1,1000,30,30,"OWNER",571009,"f","50_60",74,"Ostrava - mesto","north Moravia"
"18",26,37203,13099.7258823529,68.8,29100,7909.1401459854,14.6,134.795045045045,34495.1644144144,83469.3,800,32,32,"OWNER",800728,"m","80_90",52,"Usti nad Orlici","east Bohemia"
"19",27,12940,4654.36144578313,14.4,8800,2830.59689922481,14.6,99.8349056603774,24505.1481132075,40464.1,900,33,33,"OWNER",481204,"f","40_50",73,"Opava","north Moravia"
"20",29,26667,9670.14901960784,29.2,18000,3697.33015873016,8,154.316384180791,35945.5367231638,59950.3,700,36,36,"OWNER",780717,"f","70_80",7,"Melnik","central Bohemia"
"21",30,49290,17159.8,3.9,60200,13089.4736842105,14.6,255.794117647059,54255.8941176471,129089.9,400,38,38,"OWNER",730723,"f","70_80",36,"Liberec","north Bohemia"
"22",31,49537,17936.0462962963,110.4,61700,13362.3352112676,14.6,158.5656,64057.862,128844.3,800,39,39,"OWNER",680125,"m","60_70",68,"Frydek - Mistek","north Moravia"
