account_id,max_withdrawal,avg_withdrawal,min_withdrawal
1,7500,1380.4793650793652,14.6
2,22400,6276.393750000001,14.6
4,4100,1453.5272727272725,14.6
6,11600,2058.600000000001,14.6
7,6600,6600.0,6600
8,17700,5723.256603773584,14.6
9,23500,1637.1145299145314,14.6
10,17800,12100.0,7000
11,2132,994.904,14.6
15,46720,5057.935714285711,14.6
18,70200,10038.510638297872,30
19,18200,6656.611764705884,14.6
22,27600,5362.30192307692,14.6
23,40480,6755.036986301366,14.6
26,29100,7909.1401459854,14.6
27,8800,2830.596899224805,14.6
29,18000,3697.330158730157,8
30,60200,13089.47368421052,14.6
31,61700,13362.335211267617,14.6
32,21500,7963.71612903226,14.6
33,27000,7137.75267175572,14.6
34,36300,7815.082840236686,30
35,14950,1304.0629629629639,14.6
36,41120,5620.612658227844,14.6
39,5700,1414.447204968945,14.6
40,10200,1917.1302013422821,14.6
42,11000,7266.666666666667,2100
43,32800,6699.896491228067,14.6
44,6000,1378.5561403508784,14.6
47,63300,5778.731086142325,9
48,4800,4800.0,4800
50,23600,3826.899999999998,14.6
51,19700,6654.987500000001,14.6
53,3750,1528.0512820512818,14.6
54,8070,1159.8666666666663,14.6
55,4300,1689.84,14.6
56,23840,5066.108510638295,14.6
57,22700,5941.771428571427,14.6
58,700,700.0,700
59,22880,3411.092413793101,14.6
61,3680,991.694488188977,14.6
62,6500,1499.8731034482769,14.6
65,17800,9150.0,500
66,60600,15544.780701754386,100
67,41400,8972.18636363636,14.6
68,38700,5724.062068965517,61
69,20600,4409.8,14.6
70,11400,3068.168750000001,14.6
71,36320,3660.288461538459,14.6
72,62300,12586.607142857143,30
73,18500,5463.959712230212,14.6
75,16600,3947.0040816326546,14.6
76,8800,3574.4461538461537,14.6
78,18800,4903.170700636939,14.6
80,5250,1177.2620689655168,14.6
81,3000,1291.92,14.6
82,57700,11686.590291262135,14.6
83,13440,2475.788359788358,14.6
84,45600,12913.485714285714,100
86,8550,762.0426035502965,14.6
88,2268,1075.0400000000002,14.6
90,25120,4150.434972677594,14.6
93,8600,3382.644444444444,14.6
95,29800,9359.388461538458,14.6
96,67500,6712.031481481487,14.6
99,64900,8207.915384615382,14.6
100,25920,3069.9413333333314,14.6
101,14600,6073.876190476191,14.6
102,29600,5009.422222222221,14.6
104,7830,748.3270440251576,14.6
106,18700,5340.489411764704,14.6
107,5640,1579.0229166666668,14.6
108,17400,5178.669841269841,14.6
112,20000,1937.094666666667,14.6
113,3146,1625.15,14.6
115,9900,2690.709352517985,14.6
116,26700,9011.727272727274,14.6
117,11200,1454.5421487603317,14.6
119,21200,5968.798765432095,14.6
120,64800,11389.074626865671,30
122,15900,8800.0,1700
123,4200,1617.1228346456705,14.6
125,25200,12160.0,100
126,32800,8300.562068965513,14.6
127,5640,1179.8307692307699,14.6
128,21900,2058.8813008130096,14.6
131,15300,3603.1818181818194,14.6
132,35100,12715.533333333333,100
135,16600,2022.6423076923093,14.6
136,6500,1973.0888888888887,14.6
137,27400,9552.7,14.6
138,4700,2057.1428571428573,700
140,4800,3020.0,900
141,32700,8236.394594594594,14.6
142,6200,1420.9058823529424,14.6
145,7100,2693.9555555555553,14.6
146,7900,2082.042592592594,14.6
148,3400,675.1220512820516,14.6
150,4500,805.0533333333332,14.6
151,6200,1494.6850000000009,14.6
152,6200,2147.0181818181813,14.6
153,15200,4365.323076923074,14.6
154,16300,3701.4314814814798,14.6
155,14560,2077.354838709677,14.6
158,29800,6984.558333333331,14.6
160,14720,2805.790804597699,14.6
161,14450,1143.2679611650492,14.6
162,13750,1830.8708333333345,14.6
163,9050,1528.051851851852,14.6
165,14650,1756.9503267973864,14.6
167,200,200.0,200
168,4000,949.3920000000006,14.6
169,12000,4139.282926829269,14.6
170,17500,8081.022222222224,14.6
171,3680,1642.4222222222224,14.6
172,46720,6247.642105263154,14.6
173,16400,4757.2555555555555,14.6
180,28800,8137.859130434783,4.4
181,10400,3628.9199999999996,14.6
183,19040,3632.286092715229,14.6
184,23500,9521.533333333335,14.6
186,58200,11328.809523809523,30
187,4200,1431.1360655737715,14.6
188,24800,5320.472727272723,14.6
190,23500,3190.5105691056906,14.6
192,13450,1895.9909774436103,14.6
194,2648,1302.52,14.6
196,13200,2308.6920930232545,14.6
197,30080,7241.629729729725,14.6
198,12450,1163.8885245901647,14.6
200,11600,3218.5449275362334,14.6
201,15200,4946.772413793102,14.6
204,1950,932.11,14.6
206,5640,1832.2259259259267,14.6
207,6400,1245.5058252427193,10
208,17800,3251.6111111111118,14.6
210,18700,7228.764705882355,14.6
212,62100,12907.336787564767,30
213,26400,6999.54074074074,14.6
216,6300,1388.1841269841277,14.6
217,13900,3635.873529411766,14.6
218,28300,10359.97037037037,14.6
219,18700,4718.974074074075,14.6
220,4900,1670.8062015503888,14.6
221,17200,17200.0,17200
222,40500,11461.136111111118,14.6
223,25800,11206.666666666666,300
225,9600,1637.5444444444452,2
227,52000,13204.199999999997,14.6
228,44960,5195.863095238092,14.6
230,20300,4706.322222222223,14.6
231,2700,942.9481481481479,14.6
234,6950,1785.345312500001,14.6
235,5070,793.1276595744683,14.6
236,3600,1875.0,900
237,3100,735.0743362831861,14.6
238,2850,1057.720689655173,14.6
239,63200,7510.119047619048,30
242,26500,20533.333333333332,14700
243,63300,11793.455223880597,30
244,7830,815.5050847457634,14.6
245,56400,7587.572631578941,0.1
248,29700,10569.847058823527,14.6
251,8400,2609.3999999999996,14.6
253,47680,9836.17857142857,1.6
255,6500,6500.0,6500
256,24900,7117.425531914893,14.6
257,38100,10673.013333333334,14.6
259,14650,1507.5157894736851,14.6
260,14880,3159.333333333334,14.6
261,800,800.0,800
262,3300,2100.0,1200
264,5640,1858.295238095238,14.6
265,4100,1871.5333333333335,14.6
266,55800,13840.201626016265,14.6
267,3840,1522.9520000000002,14.6
268,42200,16240.45,14.6
269,3100,3100.0,3100
270,35040,7116.347945205476,14.6
271,3900,1521.5333333333335,14.6
272,16600,8550.0,500
273,14400,2990.9849246231156,100
274,26240,5880.108333333329,14.6
275,2062,708.4571428571427,14.6
277,50100,7023.972602739726,100
278,21800,7474.789473684212,14.6
279,3300,703.2962962962966,14.6
280,17440,2909.612264150941,14.6
281,3000,3000.0,3000
283,2880,1396.7636363636364,14.6
285,28160,7644.359183673468,14.6
286,25900,9155.857142857145,14.6
287,6300,1148.1986013986022,14.6
288,3840,1249.6647887323948,14.6
289,17400,4076.139726027395,14.6
290,32100,6678.964102564103,14.6
296,5700,1708.1799999999996,14.6
297,1100,376.3999999999999,14.6
299,64100,15746.187301587312,14.6
300,9000,1686.2586666666678,14.6
301,1950,976.5615384615384,14.6
302,4700,1721.8666666666668,14.6
306,7200,2155.079389312977,14.6
308,1700,1375.0,1100
312,14600,4564.293333333334,14.6
313,2294,854.5333333333334,14.6
317,9950,1684.591666666668,14.6
318,6900,2074.5805555555567,14.6
321,9200,1543.1196261682253,14.6
322,19600,4894.749700598799,14.6
327,29400,3481.056716417908,14.6
329,16700,8650.0,600
331,6100,2264.738888888889,14.6
332,3800,1234.0086956521739,14.6
334,20900,3955.2030150753735,14.6
335,5100,1710.848,14.6
336,18500,6387.9000000000015,14.6
337,59600,9651.358823529406,14.6
338,7980,1725.2642857142855,14.6
340,10000,1278.5559748427681,14.6
343,4600,1324.4930693069314,14.6
344,22900,3734.134883720931,14.6
345,23100,4662.887407407405,14.6
346,40320,5540.4112994350235,14.6
347,51900,9026.227999999997,0.2
348,23100,9467.975000000002,14.6
352,3900,1280.936470588236,14.6
353,7500,1391.121568627451,14.6
354,11300,3343.1416058394143,14.6
355,22200,4219.433333333333,30
356,19500,5755.136363636365,14.6
357,1788,653.5000000000001,14.6
358,4400,595.3909547738697,14.6
359,4300,1895.9285714285725,14.6
360,25300,10889.523076923078,14.6
361,26600,5430.479620853079,14.6
362,10240,2062.5801724137914,14.6
363,54200,11126.923999999999,14.6
365,18700,3507.423115577887,5
366,15600,15600.0,15600
368,11100,1558.1839357429712,14.6
370,2940,623.7625899280578,14.6
371,1800,907.3,14.6
372,34720,6169.231578947368,14.6
373,8400,3731.7846153846153,14.6
374,63900,8522.199999999999,14.6
375,3824,1441.6857142857145,14.6
376,29200,7413.402702702699,14.6
377,62700,12404.75365853658,3.7
379,4700,943.79,14.6
381,18560,3162.585964912279,14.6
385,5850,654.5874396135271,14.6
388,15100,3576.39411764706,14.6
389,6000,1802.9099999999999,14.6
390,54900,14828.082926829265,14.6
391,27800,2322.6989247311844,14.6
392,15000,5649.099999999999,14.6
393,31700,6711.188505747124,14.6
395,28160,5394.1102040816295,14.6
396,23800,3840.349305555554,14.6
397,46500,10139.149593495935,14.6
400,20300,4240.829999999996,14.6
401,18200,3165.0233009708713,14.6
403,12850,1510.743103448277,14.6
404,33700,7728.336470588232,14.6
408,20000,3624.884415584413,14.6
409,12800,4404.92,14.6
411,32640,5298.522093023252,14.6
412,19600,6389.492857142859,14.6
413,5000,1911.9333333333334,14.6
414,18200,6642.8344827586225,14.6
415,17600,4062.814906832295,14.6
417,61000,9313.918749999999,14.6
418,24100,6814.316666666666,14.6
419,16100,2012.4625000000015,14.6
420,13100,3859.7155555555573,14.6
422,35500,9986.783783783783,30
423,5430,922.8274193548394,14.6
425,8160,1442.5867256637164,14.6
426,41700,9129.085714285715,14.6
427,24320,6374.3457943925205,14.6
428,6200,1872.5546099290793,14.6
429,21700,5506.176923076923,14.6
430,1200,900.0,400
432,16200,2655.3672131147537,14.6
433,21500,3175.8310344827605,14.6
435,12150,1668.9433070866155,14.6
436,7500,2841.52,14.6
437,21600,4649.694736842102,14.6
439,23800,5988.454545454545,14.6
441,57600,9357.72131147541,30
443,3360,611.8099502487566,14.6
444,5500,2527.376470588235,14.6
445,20200,4932.920731707317,30
446,30560,6271.742857142854,14.6
447,17300,10550.0,1000
